entrez_gene_id	symbol	description	chromosome	gene_type	synonyms	aliases
150	ADRA2A	adrenoceptor alpha 2A	10	protein-coding	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32	alpha-2A adrenergic receptor|adrenergic, alpha-2A-, receptor|alpha-2 adrenergic receptor subtype C10|alpha-2-adrenergic receptor, platelet type|alpha-2A adrenoceptor|alpha-2A adrenoreceptor|alpha-2AAR subtype C10
151	ADRA2B	adrenoceptor alpha 2B	2	protein-coding	ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR	alpha-2B adrenergic receptor|ADRA2B adrenergic, alpha-2B-, receptor|G-protein coupled receptor|alpha-2 adrenergic receptor subtype C2|alpha-2-adrenergic receptor-like 1|alpha-2B adrenoreceptor
152	ADRA2C	adrenoceptor alpha 2C	4	protein-coding	ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR	alpha-2C adrenergic receptor|adrenergic, alpha-2C-, receptor|alpha-2 adrenergic receptor subtype C4|alpha-2C adrenoceptor|alpha-2C adrenoreceptor|alpha-2CAR|alpha2-AR-C4
153	ADRB1	adrenoceptor beta 1	10	protein-coding	ADRB1R|B1AR|BETA1AR|RHR	beta-1 adrenergic receptor|adrenergic, beta-1-, receptor|beta-1 adrenoceptor|beta-1 adrenoreceptor
154	ADRB2	adrenoceptor beta 2	5	protein-coding	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	beta-2 adrenergic receptor|adrenergic, beta-2-, receptor, surface|adrenoceptor beta 2 surface|beta-2 adrenoceptor|beta-2 adrenoreceptor|catecholamine receptor
155	ADRB3	adrenoceptor beta 3	8	protein-coding	BETA3AR	beta-3 adrenergic receptor|adrenergic, beta-3-, receptor|beta-3 adrenoceptor|beta-3 adrenoreceptor
156	GRK2	G protein-coupled receptor kinase 2	11	protein-coding	ADRBK1|BARK1|BETA-ARK1	beta-adrenergic receptor kinase 1|adrenergic beta receptor kinase 1|beta-ARK-1
157	GRK3	G protein-coupled receptor kinase 3	22	protein-coding	ADRBK2|BARK2	beta-adrenergic receptor kinase 2|adrenergic, beta, receptor kinase 2|beta-ARK-2
158	ADSL	adenylosuccinate lyase	22	protein-coding	AMPS|ASASE|ASL	adenylosuccinate lyase|adenylosuccinase
159	ADSS	adenylosuccinate synthase	1	protein-coding	ADEH|ADSS 2	adenylosuccinate synthetase isozyme 2|AMPSase 2|IMP--aspartate ligase 2|L-type adenylosuccinate synthetase|adSS 2|adenylosuccinate synthetase (Ade(-)H-complementing)|adenylosuccinate synthetase, acidic isozyme|adenylosuccinate synthetase, liver isozyme
160	AP2A1	adaptor related protein complex 2 alpha 1 subunit	19	protein-coding	ADTAA|AP2-ALPHA|CLAPA1	AP-2 complex subunit alpha-1|100 kDa coated vesicle protein A|adapter-related protein complex 2 alpha-1 subunit|adapter-related protein complex 2 subunit alpha-1|adaptin, alpha A|adaptor protein complex AP-2 subunit alpha-1|adaptor-related protein complex 2 subunit alpha-1|alpha-adaptin A|alpha1-adaptin|clathrin assembly protein complex 2 alpha-A large chain|clathrin-associated/assembly/adaptor protein, large, alpha 1|plasma membrane adaptor HA2/AP2 adaptin alpha A subunit
161	AP2A2	adaptor related protein complex 2 alpha 2 subunit	11	protein-coding	ADTAB|CLAPA2|HIP-9|HIP9|HYPJ	AP-2 complex subunit alpha-2|100 kDa coated vesicle protein C|adapter-related protein complex 2 subunit alpha-2|adaptin, alpha B|adaptor-related protein complex 2 subunit alpha-2|alpha-adaptin C; Huntingtin interacting protein J|alpha2-adaptin|clathrin assembly protein complex 2 alpha-C large chain|clathrin-associated/assembly/adaptor protein, large, alpha 2|huntingtin yeast partner J|huntingtin-interacting protein 9|plasma membrane adaptor HA2/AP2 adaptin alpha C subunit
162	AP1B1	adaptor related protein complex 1 beta 1 subunit	22	protein-coding	ADTB1|AP105A|BAM22|CLAPB2	AP-1 complex subunit beta-1|ADTB1, CLAPB2|Golgi adaptor HA1/AP1 adaptin beta subunit|adapter-related protein complex 1 subunit beta-1|adaptor protein complex AP-1 subunit beta-1|adaptor-related protein complex 1 subunit beta-1|beta-1-adaptin|beta-adaptin 1|beta-prime-adaptin|beta1-adaptin|clathrin assembly protein complex 1 beta large chain|plasma membrane adaptor HA2/AP2 adaptor beta subunit
163	AP2B1	adaptor related protein complex 2 beta 1 subunit	17	protein-coding	ADTB2|AP105B|AP2-BETA|CLAPB1	AP-2 complex subunit beta|adapter-related protein complex 2 beta subunit|adapter-related protein complex 2 subunit beta|adaptin, beta 2 (beta)|adaptor protein complex AP-2 subunit beta|adaptor-related protein complex 2 subunit beta|beta-2-adaptin|beta-adaptin|clathrin assembly protein complex 2 beta large chain|clathrin-associated/assembly/adaptor protein, large, beta 1|plasma membrane adaptor HA2/AP2 adaptin beta subunit|testicular tissue protein Li 22
164	AP1G1	adaptor related protein complex 1 gamma 1 subunit	16	protein-coding	ADTG|CLAPG1	AP-1 complex subunit gamma-1|adapter-related protein complex 1 subunit gamma-1|adaptor protein complex AP-1 subunit gamma-1|adaptor-related protein complex 1 subunit gamma-1|clathrin assembly protein complex 1 gamma large chain|clathrin assembly protein complex 1 gamma-1 large chain|clathrin-associated/assembly/adaptor protein, large, gamma 1|gamma adaptin|gamma1-adaptin|golgi adaptor HA1/AP1 adaptin gamma subunit|golgi adaptor HA1/AP1 adaptin subunit gamma-1|testicular tissue protein Li 21
165	AEBP1	AE binding protein 1	7	protein-coding	ACLP	adipocyte enhancer-binding protein 1|aortic carboxypeptidase-like protein
166	AES	amino-terminal enhancer of split	19	protein-coding	AES-1|AES-2|ESP1|GRG|GRG5|Grg-5|TLE5	amino-terminal enhancer of split|gp130-associated protein GAM|groucho-related protein 5
167	CRISP1	cysteine rich secretory protein 1	6	protein-coding	AEGL1|ARP|CRISP-1|HEL-S-57|HSCRISP1D|HSCRISP1G|HUMARP	cysteine-rich secretory protein 1|AEG-like protein|AEG-related protein|acidic epididymal glycoprotein homolog|acidic epididymal glycoprotein-like 1|cysteine-rich secretory protein-1 delta|epididymis secretory protein Li 57
169	AF8T	AF8 temperature sensitivity complementing	3	unknown		cell cycle controller G1|tsAF8 complementing
170	AFA	ankyloblepharon filiforme adnatum		unknown		
171	AFD1	acrofacial dysostosis 1, Nager type	9	unknown	AFDN	
172	AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene	16	pseudo	AFG3|AFG3L1	AFG3 (ATPase family gene 3, yeast)-like 1|AFG3 ATPase family gene 3-like 1, pseudogene|AFG3 ATPase family member 3-like 1, pseudogene|AFG3 like AAA ATPase 1, pseudogene
173	AFM	afamin	4	protein-coding	ALB2|ALBA|ALF	afamin|alpha-Alb|alpha-albumin
174	AFP	alpha fetoprotein	4	protein-coding	AFPD|FETA|HPAFP	alpha-fetoprotein|alpha-1-fetoprotein|alpha-fetoglobulin
175	AGA	aspartylglucosaminidase	4	protein-coding	AGU|ASRG|GA	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase|N4-(N-acetyl-beta-glucosaminyl)-L-asparagine amidase|aspartylglucosylamine deaspartylase|glycosylasparaginase
176	ACAN	aggrecan	15	protein-coding	AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD	aggrecan core protein|cartilage-specific proteoglycan core protein|chondroitin sulfate proteoglycan core protein 1|large aggregating proteoglycan
177	AGER	advanced glycosylation end-product specific receptor	6	protein-coding	RAGE|SCARJ1	advanced glycosylation end product-specific receptor|RAGE isoform NtRAGE-delta|RAGE isoform sRAGE-delta|receptor for advanced glycation end-products variant 20
178	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	1	protein-coding	GDE	glycogen debranching enzyme|amylo-1, 6-glucosidase, 4-alpha-glucanotransferase|amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferaseprovided|glycogen debrancher|glycogen debranching protein
179	AGMX2	agammaglobulinemia, X-linked 2 (with growth hormone deficiency)	X	unknown	IMD6|XLA2	
181	AGRP	agouti related neuropeptide	16	protein-coding	AGRT|ART|ASIP2	agouti-related protein|agouti related protein homolog
182	JAG1	jagged 1	20	protein-coding	AGS|AGS1|AHD|AWS|CD339|HJ1|JAGL1	protein jagged-1
183	AGT	angiotensinogen	1	protein-coding	ANHU|SERPINA8|hFLT1	angiotensinogen|alpha-1 antiproteinase, antitrypsin|angiotensin I|angiotensin II|fetal-liver predominant transporter 1|pre-angiotensinogen|serine (or cysteine) proteinase inhibitor|serpin A8|serpin peptidase inhibitor, clade A, member 8
185	AGTR1	angiotensin II receptor type 1	3	protein-coding	AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|HAT1R	type-1 angiotensin II receptor|type-1B angiotensin II receptor
186	AGTR2	angiotensin II receptor type 2	X	protein-coding	AT2|ATGR2|MRX88	type-2 angiotensin II receptor|angiotensin II type-2 receptor
187	APLNR	apelin receptor	11	protein-coding	AGTRL1|APJ|APJR|HG11	apelin receptor|APJ (apelin) receptor|APJ receptor|G protein-coupled receptor APJ|G-protein coupled receptor HG11|HG11 orphan receptor|angiotensin II receptor-like 1|angiotensin receptor-like 1
189	AGXT	alanine--glyoxylate and serine--pyruvate aminotransferase	2	protein-coding	AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6	serine--pyruvate aminotransferase|L-alanine: glyoxylate aminotransferase 1|alanine-glyoxylate aminotransferase|hepatic peroxisomal alanine:glyoxylate aminotransferase
190	NR0B1	nuclear receptor subfamily 0 group B member 1	X	protein-coding	AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2	nuclear receptor subfamily 0 group B member 1|DSS-AHC critical region on the X chromosome protein 1|nuclear hormone receptor|nuclear receptor DAX-1|truncated nuclear receptor subfamily 0 group B member 1
191	AHCY	adenosylhomocysteinase	20	protein-coding	SAHH|adoHcyase	adenosylhomocysteinase|S-adenosyl-L-homocysteine hydrolase|S-adenosylhomocysteine hydrolase
192	AIC	Aicardi syndrome	X	unknown		
196	AHR	aryl hydrocarbon receptor	7	protein-coding	bHLHe76	aryl hydrocarbon receptor|AH-receptor|ah receptor|aromatic hydrocarbon receptor|class E basic helix-loop-helix protein 76
197	AHSG	alpha 2-HS glycoprotein	3	protein-coding	A2HS|AHS|APMR1|FETUA|HSGA	alpha-2-HS-glycoprotein|alpha-2-Z-globulin|ba-alpha-2-glycoprotein|fetuin-A
199	AIF1	allograft inflammatory factor 1	6	protein-coding	AIF-1|IBA1|IRT-1|IRT1	allograft inflammatory factor 1|interferon gamma responsive transcript|ionized calcium-binding adapter molecule 1|protein G1
201	AIH3	amelogenesis imperfecta 3, hypomaturation or hypoplastic type	X	unknown		
202	CRYBG1	crystallin beta-gamma domain containing 1	6	protein-coding	AIM1|ST4	beta/gamma crystallin domain-containing protein 1|absent in melanoma 1 protein|beta-gamma crystallin domain containing 1|suppression of tumorigenicity 4 (malignant melanoma)
203	AK1	adenylate kinase 1	9	protein-coding	HTL-S-58j	adenylate kinase isoenzyme 1|ATP-AMP transphosphorylase 1|ATP:AMP phosphotransferase|adenylate monophosphate kinase|myokinase|testis secretory sperm binding protein Li 58j
204	AK2	adenylate kinase 2	1	protein-coding	ADK2	adenylate kinase 2, mitochondrial|ATP-AMP transphosphorylase 2|ATP:AMP phosphotransferase|adenylate kinase isoenzyme 2, mitochondrial|adenylate monophosphate kinase|testis secretory sperm-binding protein Li 220n
205	AK4	adenylate kinase 4	1	protein-coding	AK 4|AK3|AK3L1|AK3L2	adenylate kinase 4, mitochondrial|ATP-AMP transphosphorylase|GTP:AMP phosphotransferase AK4, mitochondrial|adenylate kinase 3-like 1|adenylate kinase isoenzyme 4, mitochondrial|mitochondrial adenylate kinase-3|nucleoside-triphosphate-adenylate kinase
206	AK4P1	adenylate kinase 4 pseudogene 1	17	pseudo	AK3P1	adenylate kinase 3 pseudogene 1
207	AKT1	AKT serine/threonine kinase 1	14	protein-coding	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	RAC-alpha serine/threonine-protein kinase|AKT1m|PKB alpha|RAC-PK-alpha|protein kinase B alpha|proto-oncogene c-Akt|rac protein kinase alpha|serine-threonine protein kinase|v-akt murine thymoma viral oncogene homolog 1|v-akt murine thymoma viral oncogene-like protein 1
208	AKT2	AKT serine/threonine kinase 2	19	protein-coding	HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA	RAC-beta serine/threonine-protein kinase|PKB beta|RAC-PK-beta|murine thymoma viral (v-akt) homolog-2|protein kinase Akt-2|protein kinase B beta|putative v-akt murine thymoma viral oncoprotein 2|rac protein kinase beta|v-akt murine thymoma viral oncogene homolog 2
210	ALAD	aminolevulinate dehydratase	9	protein-coding	ALADH|PBGS	delta-aminolevulinic acid dehydratase|aminolevulinate, delta-, dehydratase|porphobilinogen synthase|testicular tissue protein Li 95
211	ALAS1	5'-aminolevulinate synthase 1	3	protein-coding	ALAS|ALAS-H|ALAS3|ALASH|MIG4	5-aminolevulinate synthase, nonspecific, mitochondrial|5-aminolevulinic acid synthase 1|aminolevulinate, delta-, synthase 1|delta-ALA synthase 1|delta-aminolevulinate synthase 1|migration-inducing protein 4
212	ALAS2	5'-aminolevulinate synthase 2	X	protein-coding	ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA	5-aminolevulinate synthase, erythroid-specific, mitochondrial|5-aminolevulinic acid synthase 2|aminolevulinate, delta-, synthase 2|delta-ALA synthase 2|delta-ALA synthetase|delta-aminolevulinate synthase 2
213	ALB	albumin	4	protein-coding	HSA|PRO0883|PRO0903|PRO1341	serum albumin
214	ALCAM	activated leukocyte cell adhesion molecule	3	protein-coding	CD166|MEMD	CD166 antigen
215	ABCD1	ATP binding cassette subfamily D member 1	X	protein-coding	ABC42|ALD|ALDP|AMN	ATP-binding cassette sub-family D member 1|ATP-binding cassette, sub-family D (ALD), member 1|adrenoleukodystrophy protein
216	ALDH1A1	aldehyde dehydrogenase 1 family member A1	9	protein-coding	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	retinal dehydrogenase 1|ALDH class 1|ALHDII|RALDH 1|acetaldehyde dehydrogenase 1|aldehyde dehydrogenase 1, soluble|aldehyde dehydrogenase, liver cytosolic|epididymis luminal protein 12|epididymis luminal protein 9|epididymis secretory sperm binding protein Li 53e|retinaldehyde dehydrogenase 1
217	ALDH2	aldehyde dehydrogenase 2 family member	12	protein-coding	ALDH-E2|ALDHI|ALDM	aldehyde dehydrogenase, mitochondrial|ALDH class 2|acetaldehyde dehydrogenase 2|aldehyde dehydrogenase 2 family (mitochondrial)|liver mitochondrial ALDH|nucleus-encoded mitochondrial aldehyde dehydrogenase 2
218	ALDH3A1	aldehyde dehydrogenase 3 family member A1	17	protein-coding	ALDH3|ALDHIII	aldehyde dehydrogenase, dimeric NADP-preferring|aldehyde dehydrogenase isozyme 3|aldehyde dehydrogenase type III|stomach aldehyde dehydrogenase
219	ALDH1B1	aldehyde dehydrogenase 1 family member B1	9	protein-coding	ALDH5|ALDHX	aldehyde dehydrogenase X, mitochondrial|ALDH class 2|acetaldehyde dehydrogenase 5|aldehyde dehydrogenase 5
220	ALDH1A3	aldehyde dehydrogenase 1 family member A3	15	protein-coding	ALDH1A6|ALDH6|MCOP8|RALDH3	aldehyde dehydrogenase family 1 member A3|acetaldehyde dehydrogenase 6|aldehyde dehydrogenase 6|retinaldehyde dehydrogenase 3
221	ALDH3B1	aldehyde dehydrogenase 3 family member B1	11	protein-coding	ALDH4|ALDH7	aldehyde dehydrogenase family 3 member B1|aldehyde dehydrogenase 3B1|aldehyde dehydrogenase 7
222	ALDH3B2	aldehyde dehydrogenase 3 family member B2	11	protein-coding	ALDH8	aldehyde dehydrogenase family 3 member B2|acetaldehyde dehydrogenase 8|aldehyde dehydrogenase 8
223	ALDH9A1	aldehyde dehydrogenase 9 family member A1	1	protein-coding	ALDH4|ALDH7|ALDH9|E3|TMABADH	4-trimethylaminobutyraldehyde dehydrogenase|R-aminobutyraldehyde dehydrogenase|aldehyde dehydrogenase (NAD+)|aldehyde dehydrogenase E3 isozyme|aldehyde dehydrogenase family 9 member A1|gamma-aminobutyraldehyde dehydrogenase
224	ALDH3A2	aldehyde dehydrogenase 3 family member A2	17	protein-coding	ALDH10|FALDH|SLS	fatty aldehyde dehydrogenase|aldehyde dehydrogenase 10|aldehyde dehydrogenase family 3 member A2|microsomal aldehyde dehydrogenase
225	ABCD2	ATP binding cassette subfamily D member 2	12	protein-coding	ABC39|ALDL1|ALDR|ALDRP|hALDR	ATP-binding cassette sub-family D member 2|ATP-binding cassette, sub-family D (ALD), member 2|adrenoleukodystrophy-like 1|adrenoleukodystrophy-related protein
226	ALDOA	aldolase, fructose-bisphosphate A	16	protein-coding	ALDA|GSD12|HEL-S-87p	fructose-bisphosphate aldolase A|aldolase A, fructose-bisphosphate|epididymis secretory sperm binding protein Li 87p|fructose-1,6-bisphosphate triosephosphate-lyase|lung cancer antigen NY-LU-1|muscle-type aldolase
228	ALDOAP2	aldolase, fructose-bisphosphate A pseudogene 2	10	pseudo		aldolase A, fructose-bisphosphate pseudogene 2
229	ALDOB	aldolase, fructose-bisphosphate B	9	protein-coding	ALDB|ALDO2	fructose-bisphosphate aldolase B|aldolase 2|aldolase B, fructose-bisphosphatase|aldolase B, fructose-bisphosphate|liver-type aldolase
230	ALDOC	aldolase, fructose-bisphosphate C	17	protein-coding	ALDC	fructose-bisphosphate aldolase C|aldolase 3|aldolase C, fructose-bisphosphate|brain-type aldolase|fructoaldolase C|fructose-1,6-biphosphate triosephosphate lyase
231	AKR1B1	aldo-keto reductase family 1 member B	7	protein-coding	ADR|ALDR1|ALR2|AR	aldose reductase|Lii5-2 CTCL tumor antigen|aldehyde reductase 1|aldo-keto reductase family 1 member B1|low Km aldose reductase
236	AKR1B1P2	aldo-keto reductase family 1 member B1 pseudogene 2	3	pseudo	ALDRP	aldehyde reductase (aldose reductase) pseudogene|aldo-keto reductase family 1, member B1 (aldose reductase) pseudogene
238	ALK	ALK receptor tyrosine kinase	2	protein-coding	CD246|NBLST3	ALK tyrosine kinase receptor|CD246 antigen|anaplastic lymphoma receptor tyrosine kinase|mutant anaplastic lymphoma kinase
239	ALOX12	arachidonate 12-lipoxygenase, 12S type	17	protein-coding	12-LOX|12S-LOX|LOG12	arachidonate 12-lipoxygenase, 12S-type|12S-lipoxygenase|lipoxin synthase 12-LO|platelet 12-LOX|platelet-type 12-lipoxygenase|platelet-type lipoxygenase 12
240	ALOX5	arachidonate 5-lipoxygenase	10	protein-coding	5-LO|5-LOX|5LPG|LOG5	arachidonate 5-lipoxygenase|LOX-5|arachidonic 5-lipoxygenase alpha-10 isoform|arachidonic 5-lipoxygenase delta-10-13 isoform|arachidonic 5-lipoxygenase delta-13 isoform|arachidonic 5-lipoxygenase delta-p10 isoform|arachidonic acid 5-lipoxygenase|leukotriene A4 synthase
241	ALOX5AP	arachidonate 5-lipoxygenase activating protein	13	protein-coding	FLAP	arachidonate 5-lipoxygenase-activating protein|MK-886-binding protein
242	ALOX12B	arachidonate 12-lipoxygenase, 12R type	17	protein-coding	12R-LOX|ARCI2	arachidonate 12-lipoxygenase, 12R-type|12R-lipoxygenase|epidermis-type lipoxygenase 12
243	ALOX12P1	arachidonate 12-lipoxygenase pseudogene 1	17	pseudo	ALOX12P	
245	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2	17	pseudo	ALOX12E	12-lipoxygenase-related protein|hair and skin epidermal-type 12-lipoxygenase-related pseudogene
246	ALOX15	arachidonate 15-lipoxygenase	17	protein-coding	12-LOX|15-LOX|15-LOX-1|LOG15	arachidonate 15-lipoxygenase|12/15-lipoxygenase|15-LOX type 1|15-lipooxygenase-1|15-lipoxygenase type 1|arachidonate 12-lipoxygenase, leukocyte-type|arachidonate omega-6 lipoxygenase
247	ALOX15B	arachidonate 15-lipoxygenase, type B	17	protein-coding	15-LOX-2	arachidonate 15-lipoxygenase B|15-LOX-B|15S-lipoxygenase|arachidonate 15-lipoxygenase 2|arachidonate 15-lipoxygenase type II|arachidonate 15-lipoxygenase, second type|arachidonate omega(6) lipoxygenase|linoleate 13-lipoxygenase 15-LOb
248	ALPI	alkaline phosphatase, intestinal	2	protein-coding	IAP	intestinal-type alkaline phosphatase|Kasahara isozyme|alkaline phosphomonoesterase|glycerophosphatase|intestinal alkaline phosphatase
249	ALPL	alkaline phosphatase, liver/bone/kidney	1	protein-coding	AP-TNAP|APTNAP|HOPS|TNALP|TNAP|TNSALP	alkaline phosphatase, tissue-nonspecific isozyme|alkaline phosphatase liver/bone/kidney isozyme|liver/bone/kidney-type alkaline phosphatase|tissue non-specific alkaline phosphatase|tissue-nonspecific ALP
250	ALPP	alkaline phosphatase, placental	2	protein-coding	ALP|PALP|PLAP|PLAP-1	alkaline phosphatase, placental type|alkaline phosphatase Regan isozyme|alkaline phosphomonoesterase|glycerophosphatase|placental alkaline phosphatase 1
251	ALPPL2	alkaline phosphatase, placental like 2	2	protein-coding	ALPG|ALPPL|GCAP	alkaline phosphatase, placental-like|ALP-1|Nagao isozyme|alkaline phosphatase Nagao isozyme|germ cell alkaline phosphatase|placental-like alkaline phosphatase|testicular and thymus alkaline phosphatase
253	ALS3	amyotrophic lateral sclerosis 3 (autosomal dominant)	18	unknown	ALS6	
255	ALS5	amyotrophic lateral sclerosis 5	15	unknown		
